iter,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
30,1,126,164,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,0.9918350828771751,0.09580197432395661
30,2,127,162,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,0.9913865470817529,0.07870978991174837
31,1,127,159,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,0.9909382744118597,0.061604953606194224
32,1,122,156,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0058041170653171,0.04321721559972924
32,2,119,156,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0121679496532214,0.048659597569656314
33,1,119,155,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0149838190727658,0.0363859442265154
33,2,121,153,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0084447528445417,0.02514377850987864
34,1,112,150,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0333460052314052,0.009282107931548812
34,2,117,148,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0201800072050746,-0.0069277271171885296
35,1,110,148,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0362355211221974,-0.0038776368822043346
35,2,108,146,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.048694301231221,-0.02593770718437744
36,1,106,142,4,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0516361445735722,-0.03979819767266614
37,1,104,142,3,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0547493836578392,-0.04728567224768507
38,1,100,140,3,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0676402730523449,-0.0648449315158795
39,1,99,140,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0711386594304524,-0.059215132052344445
40,1,99,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
40,2,102,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0676402730523449,-0.0648449315158795
41,1,98,141,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07784428475809,-0.061488188785933574
42,1,99,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
42,2,96,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
42,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
43,1,99,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
43,2,96,140,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0844317296452701,-0.07084358956244767
43,3,98,138,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
44,1,99,141,3,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07784428475809,-0.061488188785933574
44,2,96,140,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0844317296452701,-0.07084358956244767
44,3,98,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0805505596720553,-0.09038797096416883
44,4,96,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0873243584677883,-0.09321599096079038
45,1,99,142,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
45,2,96,138,5,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
46,1,99,142,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
46,2,96,138,5,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0808828958987013,-0.07654594391597005
47,1,96,138,6,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0810491082026379,-0.06960522687042682
48,1,99,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
48,2,96,140,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0844317296452701,-0.07084358956244767
48,3,99,138,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
49,1,98,142,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
49,2,96,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
49,3,98,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0805505596720553,-0.09038797096416883
50,1,98,142,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
50,2,96,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
51,1,98,142,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
51,2,96,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
52,1,98,142,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
52,2,99,138,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
53,1,98,142,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
53,2,96,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
54,1,98,142,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
54,2,96,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
54,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
55,1,98,141,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07784428475809,-0.061488188785933574
55,2,96,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0876590860967241,-0.07915396086023037
55,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
56,1,98,142,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
56,2,96,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
57,1,99,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0746504581730338,-0.053486846520024715
58,1,99,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0744853846966635,-0.060342638180157775
58,2,96,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
59,1,99,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0744853846966635,-0.060342638180157775
59,2,96,140,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0878264940110658,-0.07210220839309193
59,3,99,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0771818892021499,-0.08900761785604908
60,1,99,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0744853846966635,-0.060342638180157775
60,2,96,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0876590860967241,-0.07915396086023037
60,3,99,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0771818892021499,-0.08900761785604908
61,1,99,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0744853846966635,-0.060342638180157775
61,2,99,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0771818892021499,-0.08900761785604908
62,1,96,140,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0812153499651835,-0.06265221745635628
62,2,97,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0839313866875722,-0.09179058295741023
63,1,99,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0744853846966635,-0.060342638180157775
63,2,96,140,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0844317296452701,-0.07084358956244767
63,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
63,4,97,138,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0839313866875722,-0.09179058295741023
64,1,98,141,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07784428475809,-0.061488188785933574
64,2,96,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
64,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
65,1,98,141,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07784428475809,-0.061488188785933574
65,2,97,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
65,3,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
66,1,96,140,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0812153499651835,-0.06265221745635628
