iter,time,fps,numOfBall
0,0.046865340000294964,21337.730612723735,0
1,0.15805608499977097,8993.554274725946,0
2,0.16935200999978406,88527.49996116667,0
3,0.17891453400079627,104574.90092512695,0
4,0.18807656200078782,109146.14100730997,0
5,0.19632486600130505,121237.04460181047,0
6,0.2044414579995646,123204.41882682199,0
7,0.21272963600131334,120653.77936972481,0
8,0.22039714600032312,130420.43637753911,0
9,0.2290804290005326,115163.81534217818,0
10,0.23692680900057894,127447.306910205,0
11,0.24483140499978617,126508.67926713676,0
12,0.25519764099954045,96467.030079549,0
13,0.2644764489996305,107772.46387577945,0
14,0.27387065699986124,106448.56915829841,0
15,0.28229694600122457,118676.20489140655,0
16,0.29069948800133716,119011.60386780578,0
17,0.2991593710012239,118204.94444348529,0
18,0.3076709140004823,117487.5107941217,0
19,0.3157923489998211,123130.94915878931,0
20,0.3241299630008143,119938.39003351287,0
21,0.3324657230004959,119965.0661773126,0
22,0.34063550300015777,122402.31683611938,0
23,0.3483267049996357,130018.68889516611,0
24,0.3574498140005744,109611.75624418234,0
25,0.36662411900033476,109000.0822979094,0
26,0.3747730240011151,122715.87408421592,0
27,0.38307595799960836,120439.35314690838,0
28,0.3919589500001166,112574.68203762709,0
29,0.3998362359998282,126947.2760080834,0
30,0.4077796310011763,125890.75575749231,2
31,0.41738597600124194,104097.86448364785,1
32,0.43239552399973036,66624.25811228348,2
33,0.4438887030009937,87008.1288988955,2
34,0.45454610100023274,93831.53374504755,2
35,0.46403155000007246,105424.6351455685,2
36,0.4742103340013273,98243.56228373855,1
37,0.48571564099984244,86916.4117158332,1
38,0.4976668070012238,83673.84403198959,1
39,0.5159386499999528,54729.01666622038,1
40,0.5310057000006054,66369.99279598078,2
41,0.5482558290004818,57970.580974041965,1
42,0.5595218489997933,88762.49110698451,3
43,0.5710361980000016,86848.15789254854,3
44,0.580878754000878,101599.62512897691,4
45,0.5952851689999079,69413.52168928458,2
46,0.606745454000702,87257.86487253226,2
47,0.6159808290012734,108279.30646434311,1
48,0.6279714280008193,83398.66924395274,3
49,0.6400192590008373,83002.49231571241,3
50,0.6510117420002643,90971.25736306579,2
51,0.6637417559995811,78554.50905660231,2
52,0.6757027500007098,83605.09167596222,2
53,0.6899067100002867,70402.90172809461,2
54,0.7002980859997479,96233.6460591797,3
55,0.7134301040005084,76149.75854755011,3
56,0.725081479000437,85826.78010158756,2
57,0.7388599220012111,72577.14096896259,1
